"","X1","X2"
"865","opening","day"
"867","report","said"
"868","live","music"
"870","common","sense"
"871","weight","loss"
"875","pg","e"
"879","climate","change"
"881","grand","jury"
"885","fall","love"
"886","r","u"
"888","forward","seeing"
"889","merry","christmas"
"898","sheriff's","office"
"902","county","sheriff's"
"904","u","know"
"905","spokesman","said"
"908","19th","century"
"909","gives","us"
"911","miles","away"
"918","holy","spirit"
"927","tells","us"
"928","lemon","juice"
"950","bake","minutes"
"951","notre","dame"
"953","superior","court"
"958","worked","hard"
"963","house","speaker"
"964","co","founder"
"979","fast","food"
"984","especially","since"
"986","always","good"
"988","including","one"
"990","kind","like"
"994","amount","time"
"996","farmers","market"
"1004","wanna","go"
"1007","thing","ever"
"1011","contributed","report"
"1012","elected","officials"
"1022","yes","yes"
"1028","passed","away"
"1039","gluten","free"
"1040","championship","game"
"1041","spread","word"
"1046","justin","bieber"
"1050","answer","questions"
"1058","man","woman"
"1059","sure","can"
"1061","oil","gas"
"1064","blah","blah"
"1065","save","money"
"1066","ncaa","tournament"
"1069","catholic","church"
"1072","giving","away"
"1079","open","public"
"1083","sometimes","just"
"1086","play","game"
"1092","doesnt","mean"
"1094","ask","questions"
"1097","still","love"
"1099","post","dispatch"
"1100","different","ways"
"1111","walking","around"
"1113","sense","humor"
"1115","film","festival"
"1119","press","release"
"1120","seconds","left"
"1122","sales","tax"
"1125","holiday","season"
"1132","penn","state"
"1133","medium","heat"
"1142","wide","receiver"
"1143","later","year"
"1144","charter","schools"
"1148","working","hard"
"1153","road","trip"
"1160","tampa","bay"
"1162","star","ledger"
"1169","national","park"
"1177","week","ago"
"1182","george","w"
"1187","de","mayo"
"1188","radio","show"
"1196","global","warming"
"1200","scored","points"
"1202","decided","go"
"1203","waste","time"
"1204","walk","away"
"1207","friend","mine"
"1210","al","qaeda"
"1216","lose","weight"
"1218","important","thing"
"1225","side","side"
"1226","rest","us"
"1239","near","future"
"1242","rock","n"
"1247","turn","around"
"1250","power","play"
"1253","nearly","years"
"1261","interest","rates"
"1265","moving","forward"
"1266","records","show"
"1268","video","games"
"1269","cents","per"
"1271","stuff","like"
"1278","box","office"
"1280","cinco","de"
"1285","senate","bill"
"1286","defensive","end"
"1287","convention","center"
"1293","according","report"
"1296","chamber","commerce"
"1303","thought","might"
"1304","wal","mart"
"1308","american","idol"
"1309","awkward","moment"
"1310","science","fiction"
"1312","life","just"
"1313","hong","kong"
"1318","gift","card"
"1321","sex","marriage"
"1335","birthday","party"
"1340","street","journal"
"1341","completely","different"
"1347","21st","century"
"1358","highly","recommend"
"1361","fox","news"
"1369","conference","call"
"1370","cream","cheese"
"1371","cross","country"
"1378","n","roll"
"1379","college","football"
"1384","nice","see"
"1385","modern","day"
"1389","western","conference"
"1390","paying","attention"
"1395","granite","city"
"1402","raise","money"
"1418","christie","said"
"1421","circuit","court"
"1433","daily","basis"
"1434","month","old"
"1438","group","people"
"1441","fingers","crossed"
"1443","start","new"
"1444","w","bush"
"1445","nfl","draft"
"1446","face","face"
"1447","osama","bin"
"1450","behind","scenes"
"1453","international","airport"
"1454","must","say"
"1456","financial","crisis"
"1458","music","video"
"1459","gonna","get"
"1460","sci","fi"
"1473","gotta","love"
"1474","hudson","county"
"1477","local","governments"
"1484","homeland","security"
"1486","whats","going"
"1489","determine","whether"
"1500","peyton","manning"
"1501","weve","got"
"1502","cup","coffee"
"1504","despite","fact"
"1506","fire","department"
"1510","somewhere","else"
"1511","brown","sugar"
"1513","less","likely"
"1522","prosecutors","said"
"1525","today","just"
"1530","mom","dad"
"1531","office","said"
"1537","earth","day"
"1541","property","tax"
"1544","coast","guard"
"1546","non","profit"
"1552","large","bowl"
"1556","newt","gingrich"
"1562","room","temperature"
"1567","better","way"
"1572","rick","santorum"
"1573","track","field"
"1574","secret","service"
"1580","baking","sheet"
"1581","run","away"
"1588","bit","like"
"1591","port","authority"
"1598","planned","parenthood"
"1602","trade","center"
"1605","email","address"
"1606","debt","crisis"
"1611","golden","gate"
"1612","hundreds","thousands"
"1613","lucky","enough"
"1618","nine","years"
"1622","information","call"
"1631","main","street"
"1635","job","creation"
"1638","thus","far"
"1639","training","camp"
"1646","low","income"
"1656","theres","nothing"
"1661","among","things"
"1664","period","time"
"1668","ron","paul"
"1672","bank","america"
"1674","valentines","day"
"1678","budget","cuts"
"1683","domestic","violence"
"1694","hot","dogs"
"1698","matter","much"
"1702","sit","back"
"1705","european","union"
"1708","green","bay"
"1710","michigan","state"
"1717","vast","majority"
"1718","became","first"
"1727","reading","book"
"1739","single","day"
"1741","become","one"
"1742","comic","book"
"1746","lunch","dinner"
"1753","kentucky","derby"
"1755","award","winning"
"1756","billion","billion"
"1758","ahead","time"
"1759","secretary","state"
"1760","funeral","home"
"1776","role","model"
"1777","iron","man"
"1789","weather","service"
"1791","believe","can"
"1796","self","esteem"
"1800","cute","little"
"1805","foreign","policy"
"1810","brought","back"
"1812","else","can"
"1816","averaging","points"
"1819","santa","cruz"
"1822","town","hall"
"1825","comes","back"
"1826","found","guilty"
"1829","person","can"
"1830","craft","beer"
"1835","whipped","cream"
"1839","football","team"
"1841","stamp","set"
"1851","christmas","eve"
"1856","decision","making"
"1857","times","day"
"1860","mother","law"
"1869","knew","going"
"1870","department","transportation"
"1871","martin","luther"
"1878","stock","market"
"1880","saudi","arabia"
"1883","incorporated","item"
"1885","golf","course"
"1891","essex","county"
"1897","thats","just"
"1898","lake","oswego"
"1903","garden","state"
"1905","laid","back"
"1929","pale","ale"
"1946","attorney's","office"
"1947","business","owners"
"1948","birth","control"
"1949","smile","face"
"1954","within","days"
"1962","year's","eve"
"1972","experts","say"
"1974","death","penalty"
"1976","away","home"
"1978","watching","tv"
"1979","twitter","account"
"1991","tried","get"
"1996","barnes","noble"
"1997","baby","girl"
"2001","texas","m"
"2002","williams","said"
"2003","text","messages"
"2011","hotel","room"
"2016","managed","get"
"2020","sour","cream"
"2022","nuclear","power"
"2029","food","processor"
"2030","rate","percent"
"2037","lebron","james"
"2043","started","working"
"2045","given","us"
"2049","memorial","day"
"2060","martha","stewart"
"2061","hell","yeah"
"2063","item","c"
"2064","decide","whether"
"2077","welcome","back"
"2081","mg","sodium"
"2082","pop","culture"
"2095","performing","arts"
"2099","wi","fi"
"2100","lol","rt"
"2101","quality","life"
"2104","nursing","home"
"2105","favorite","things"
"2110","league","baseball"
"2113","step","back"
"2114","goes","back"
"2115","true","story"
"2119","create","jobs"
"2132","anytime","soon"
"2136","northern","california"
